,A1,A2,A3,A4,B1,B2,B3,B4,all8
32,-0.336716396,0.348658559,0,0.986927542,0.269955038,0.968245837,0.928476691,1,0.993399268
33,0.082949328,-0.033391864,0.067666495,0.977383082,0.198904796,0.914740925,0.924912143,0.954766164,0.983059393
34,0.154285021,-0.054510812,0.049589522,0.97872097,0.186583813,0.977246283,0.958744971,0.960312742,1
35,-0.141007569,0,0,0.987420883,-0.888096753,0.960794189,0.941468872,0.977078477,0.983633374
36,0.070581904,0.017666631,0.023702273,0.978258272,0.308226334,0.962851667,0.938716208,0.954800817,0.983560524
37,0.047947111,0,0.048640888,0.979379229,0.297375369,0.945826678,0.95998366,0.989528507,0.971880942
38,0.063025535,0.069997265,-0.077512343,0.96099494,0.275283286,0.926268358,0.959166305,0.943975149,0.982985829
39,-0.096784282,0.077014693,0.030068876,0.960405541,0.264703955,0.944275654,0.93905084,0.954539584,0.948696109
40,-0.122274799,0.678400525,-0.804030252,0.964913477,-0.750132023,0.93583407,0.930308745,0.967422522,0.960894504
41,-0.012989802,-0.01437915,0,0.966792622,0.230610161,0.971834452,0.949623986,0.976941115,0.971834452
42,-0.277245157,0.043587711,0.0603091,0.967906042,0.259879227,0.926410769,0.952976005,0.938248961,0.948964915
43,0.122624084,0.121834811,0.097362055,0.994428926,0.245247845,0.948964915,0.962851667,0.983193499,1
44,-0.126633021,-0.654835761,-0.654835761,0.98802352,-0.757925474,0.959868905,0.954521404,0.96497313,0.96497313
45,-0.252674681,0.696932052,-0.213801653,0.977269758,0.266276851,0.948669907,0.956022225,0.983410994,0.988438918
46,0.15002487,-0.006974451,0.080856604,1,0.273071672,0.971905023,0.961150105,1,1
47,-0.051414271,-0.251259454,-0.336969,0.978019294,0.330067665,0.960379141,0.967558894,1,0.983254148
48,-0.03112864,-0.383273981,-0.020860876,0.942849319,0.158909204,0.956500715,0.912371645,0.909532328,0.942849319
49,-0.332192135,-0.485920967,-0.504046975,0.97752522,0.247939798,0.925650328,0.956500715,0.944310877,0.977260982
50,-0.301993729,0.017666631,-0.031654658,0.978258272,0.174626041,0.954800817,0.967906042,0.994428926,0.988949937
51,-0.184002299,-0.560352347,-0.664664879,0.982607369,-0.658548826,0.930745582,0.940324692,0.9546851,0.988303691
52,0.049619107,0,0.093616839,0.98488578,0.235692342,0.951456152,0.956605634,0.943013562,0.994884877
53,-0.217600979,0.348460408,-0.32421041,0.96082403,0.265247773,0.965842321,0.943778435,0.944578521,0.966951115
54,0.038804472,0.081236358,-0.38870862,0.966470866,0.223698122,0.948427059,0.931314629,0.977269758,0.994169047
55,0.048599211,-0.001316768,-0.239310097,0.962851667,0.184444271,0.973040858,0.967906042,0.988949937,0.988949937
56,0.092121554,-0.491770305,-0.273069858,0.983560524,0.231049033,0.909601634,0.938716208,0.944379159,0.983193499
57,-0.35581161,0,-0.262588828,0.970839191,-0.847170875,0.960907654,0.944089163,0.965091424,0.993957649
58,-0.022620632,0.028174385,-0.536483642,0.971792073,0.329089136,0.95550553,0.953939201,0.938097762,0.960578577
59,0.134491061,0.07242091,0.04997637,0.971651249,0.294018938,0.96857851,0.934663465,0.971651249,0.977246283
60,0.167762705,-0.12469541,0.026983036,0.973885829,0.209893154,0.950464934,0.973885829,0.977365729,0.989304505
61,0.046220918,-0.056533377,0.06335107,0.97188462,0.199551999,0.985184366,0.956703511,0.959595991,0.959595991
62,-0.171081742,-0.397227633,0.380211844,0.958926603,-0.753825947,0.947999653,0.958926603,0.987729597,0.987729597
63,-0.282877438,-0.378772753,-0.451762666,0.959601879,-0.779475038,0.948241628,0.966091783,0.959601879,0.97734255
64,-0.002060017,-0.194943257,-0.376730657,0.977775003,0.301879838,0.937973281,0.962045693,0.909079168,0.960581237
65,-0.049905149,-0.085884903,0.054495686,0.970725343,0.282514025,0.931413072,0.961523948,0.966729104,0.989949494
66,-0.232742133,0.32974213,-0.037329298,0.971504104,-0.645136061,0.965419108,0.955533086,0.994100243,1
67,-0.260377822,0.116145525,0.639602149,0.986393924,-0.888390841,0.936911445,0.904534034,0.983663054,0.973328527
68,0.095925832,0,0,0.971858494,0.254640406,0.949050359,0.969223369,0.927578955,0.949816728
69,0.078360391,0,0.047488141,0.966429016,0.149876193,0.974679434,0.926369955,0.95425601,0.95425601
70,-0.103918586,-0.507139963,0,0.983362861,0.285207319,0.948874267,0.912371645,0.983362861,0.977383082
71,-0.151142155,0.678400525,0.678400525,0.930308745,-0.702194784,0.908978688,0.923380517,0.964913477,0.958907288
72,0.083026396,-0.006185896,-0.055670221,0.979795897,0.27209988,0.931712963,0.951661903,0.920786588,0.960043806
73,-0.243458553,-0.588152515,0,0.988826465,0.22591083,0.960777591,0.967558894,1,0.994366152
74,0.025219997,0.005916426,0.078621363,0.97361012,0.246208988,0.960706417,0.958744971,0.954492566,0.977246283
